model,accuracy,macro_f1,weighted_f1
Rule baseline,0.2727272727272727,0.18963583746192442,0.2311299583038713
TF-IDF + Logistic Regression,0.4431818181818182,0.35098743107896424,0.4059539119087694
BERT-base-chinese,0.32954545454545453,0.17336307417279076,0.2856661878791065
