model,accuracy,macro_f1,weighted_f1
Rule baseline,0.26143790849673204,0.14943024227234755,0.2153632447130899
TF-IDF + Logistic Regression,0.20915032679738563,0.13750179960524786,0.20841539123486388
CamemBERT-base,0.26143790849673204,0.07040170750363955,0.16374750408466493
