keyword,degree,in_degree,out_degree,betweenness
guêpe,3,1,2,0.0
lézard,3,1,2,0.0
lion,3,1,2,0.0
linotte,3,1,2,0.0
oiseaux,3,1,2,0.0
roue,3,1,2,0.0
plumes,3,1,2,0.0
caquet,3,1,2,0.0
sansonnet,3,1,2,0.0
ergots,3,1,2,0.0
paon,3,1,2,0.0
pie,3,1,2,0.0
anguille,3,1,2,0.0
serpent,3,1,2,0.0
teigne,3,1,2,0.0
tortue,3,1,2,0.0
zèbre,3,1,2,0.0
cil,2,1,1,0.0
côtes,2,1,1,0.0
foie,2,1,1,0.0
genou,2,1,1,0.0
lèvres,2,1,1,0.0
ongle,2,1,1,0.0
talon,2,1,1,0.0
crâne,2,1,1,0.0
araignée,2,1,1,0.0
pourceaux,2,1,1,0.0
dindon,2,1,1,0.0
fourmilière,2,1,1,0.0
fourmi,2,1,1,0.0
lièvre,2,1,1,0.0
loups,2,1,1,0.0
bouc,2,1,1,0.0
brebis,2,1,1,0.0
agneau,2,1,1,0.0
moineaux,2,1,1,0.0
patte,2,1,1,0.0
ours,2,1,1,0.0
anchois,2,1,1,0.0
sardines,2,1,1,0.0
fretin,2,1,1,0.0
poux,2,1,1,0.0
putois,2,1,1,0.0
souris,2,1,1,0.0
couleuvres,2,1,1,0.0
ver,2,1,1,0.0
vers,2,1,1,0.0
hannetons,2,1,1,0.0
